ccID,ccLength,ccMeanSlope,ccStdSlope,minDrainageArea,maxDrainageArea,segmentLocation,slopeChangeToPrevCC,meanKSN
0_0_0.0,255.2728111106086,0.6855214861252782,0.0763010522307288,9063.0,20484.0,1.0,,30.90167213114754
0_0_1.0,129.72757737566175,0.3518971236453979,0.0838244866161854,28674.0,51066.0,3.0,-0.3337322417687093,24.455549999999995
1_0_0.0,276.97705636027416,0.758549327892544,0.0633796449570205,9090.0,40401.0,1.0,,44.6142
1_0_1.0,1340.907460736321,0.1566169070850356,0.0714916996416101,40410.0,3209400.0,2.0,-0.6019324208075083,53.3628612565446
1_0_2.0,47.6901230700091,0.5288692549753353,0.0897263633005003,3209400.0,3280600.0,2.0,0.3722523478902995,154.18923076923076
1_0_3.0,90.61994626263936,0.2133706642173592,0.1095696329422526,3281200.0,3306100.0,2.0,-0.315498590757976,84.10700000000001
1_0_4.0,43.416421501130685,0.4283216071719321,0.1109469951940207,3306200.0,3311600.0,2.0,0.2149509429545728,76.58854545454545
1_0_5.0,709.4239754827795,0.148759192115967,0.0912046902693512,3311600.0,3753500.0,2.0,-0.2860093549870718,74.1716600985222
1_0_6.0,43.89043790796802,0.9000465749092814,0.2043332773082993,3753600.0,3754700.0,2.0,0.7577343227244211,249.5609090909091
1_0_7.0,9530.794696474955,0.0473086960657695,0.0489487769814372,3754800.0,46641000.0,3.0,-0.852750322310379,31.265641440117605
1_100_0.0,324.8950268956466,0.6826955477243686,0.1091832639646341,9135.0,45972.0,1.0,,36.359
1_100_1.0,49.376910532051305,0.3692763651303608,0.0871636640258895,49752.0,596070.0,2.0,-0.3134191825940075,34.59558571428571
1_101_0.0,87.05852023420442,0.5398337907855787,0.0811077546100392,10080.0,19179.0,1.0,,33.24442857142857
1_101_1.0,52.59403896705744,0.9711229188645196,0.1145622164187937,20430.0,22347.0,2.0,0.431289128078941,34.66878571428572
1_101_2.0,51.91476656508252,0.4634370505006325,0.1206595052922584,22419.0,24948.0,2.0,-0.5076858683638872,35.158333333333324
1_101_3.0,9609.376823126096,0.0248244156348397,0.0158880239060712,24957.0,46641000.0,3.0,-0.4386167531027322,19.340273328514662
1_102_0.0,9756.89013424827,0.0241030530429944,0.0134342687174306,10341.0,46641000.0,4.0,,19.426377224199317
1_103_0.0,41.71484421415735,0.583166075869428,0.113615693751348,10620.0,125310.0,1.0,,58.15083333333333
1_104_0.0,165.80639572285696,0.6741892856271088,0.1121246077275692,9099.0,20961.0,1.0,,28.921312500000003
1_104_1.0,234.84574666013805,0.360391600237714,0.0826188872397385,21006.0,134690.0,2.0,-0.3137976853893949,34.97816923076922
1_105_0.0,261.12828566072125,0.7465831168156304,0.1149161354298479,9063.0,1071200.0,1.0,,87.634203125
1_106_0.0,9693.915252735833,0.0240694428273741,0.013501629923252,10440.0,46641000.0,4.0,,19.54175020415476
1_107_0.0,48.716730231596834,0.8235502241425603,0.1024782032869347,9036.0,9180.0,1.0,,22.110214285714285
1_107_1.0,32.40063336836725,0.2817506028811953,0.1721387518048301,9189.0,504040.0,2.0,-0.5417996212613649,18.57264
1_108_0.0,215.6000694036606,0.7223415765378783,0.0742400158985334,9360.0,45909.0,1.0,,34.67526666666667
1_109_0.0,86.41979707134277,0.837164650405659,0.0773149872317153,9855.0,11889.0,1.0,,30.07983333333333
1_109_1.0,9612.6076908208,0.0250415254512977,0.0225554566021475,11934.0,46641000.0,3.0,-0.8121273201113367,19.74648291184974
1_10_0.0,41.69162029476915,0.4416322476321086,0.1195095990238567,9801.0,1629000.0,1.0,,32.77627272727272
1_110_0.0,312.7965399756055,0.49591689398067,0.0714657327805552,9180.0,208940.0,1.0,,34.76315294117646
1_111_0.0,305.6771512643265,0.4757437431578151,0.055447249898886,9117.0,208940.0,1.0,,32.22973333333333
1_112_0.0,55.58747460750826,0.2769886182087765,0.0744709606824336,12078.0,15399.0,1.0,,22.925733333333334
1_112_1.0,240.3875197207936,0.8305946908892791,0.0900289164859249,15408.0,41022.0,2.0,0.5536060726805025,42.31306896551725
1_112_2.0,52.203315818317336,1.1839453244880227,0.0951847771947259,41031.0,41283.0,2.0,0.3533506335987436,78.56254545454546
1_112_3.0,9231.399339505577,0.0453185818715956,0.0512225819536749,41355.0,46641000.0,3.0,-1.1386387960729971,29.830233648393293
1_113_0.0,9540.401085747302,0.0471269103002402,0.0470529528216952,9144.0,46641000.0,4.0,,30.99529001468434
1_114_0.0,82.04100437067159,0.3003924022153904,0.0784599780615063,12258.0,1089100.0,1.0,,107.57904347826089
1_115_0.0,93.91770266899374,0.4359521938595075,0.0877834036673218,13770.0,24705.0,1.0,,24.55184
1_115_1.0,568.0927946852829,0.6985145796908674,0.1099932097326124,24831.0,94086.0,2.0,0.2594652077195729,54.92497500000002
1_115_2.0,8908.58809787901,0.0402133211623862,0.0366878865989381,94095.0,46641000.0,3.0,-0.6552145568286518,28.586252347417958
1_116_0.0,9489.28419693044,0.0242285566699982,0.0135499159808509,11421.0,46641000.0,4.0,,19.512962975146223
1_117_0.0,50.05101006547412,0.9013851315133992,0.128016673259623,10188.0,10755.0,1.0,,43.62327272727273
1_117_1.0,59.22715476187952,1.2400251905446296,0.0800681553529767,10764.0,12204.0,2.0,0.3386400590312302,43.57538461538461
1_117_2.0,38.45619475782947,0.5606471246409753,0.2562241648608767,12213.0,4321600.0,2.0,-0.679378065903654,49.2278
1_118_0.0,750.3432881857343,0.3884921324819523,0.0918886745724314,9333.0,138140.0,1.0,,32.56890452261307
1_118_1.0,126.57314102834434,0.6615148365184156,0.0722443391433777,139790.0,160660.0,2.0,0.2792871134055495,63.58184848484846
1_118_2.0,8649.001057468568,0.0310766778473055,0.0484483435465808,160690.0,46641000.0,3.0,-0.6304452334374672,21.39297822774662
1_119_0.0,107.52313942645984,0.7054442541013937,0.0739733393155634,9423.0,15543.0,1.0,,27.873333333333328
1_119_1.0,233.9163574181233,0.3238100373877936,0.1427075525159633,18180.0,241680.0,2.0,-0.3816342167136,37.776146666666655
1_11_0.0,137.24491876265782,0.4470780227914292,0.1298382130051054,9198.0,370740.0,1.0,,61.47307500000001
1_11_1.0,58.11702294735239,0.7602832667429472,0.0998112769816167,370850.0,372720.0,2.0,0.313205243951518,108.01733333333335
1_11_2.0,296.1720717579575,0.3367899266067671,0.1150885421955638,372740.0,515660.0,2.0,-0.4072691044016991,67.00323529411762
1_11_3.0,36.66082294103945,0.1468591658385501,0.0956281367351367,515710.0,522040.0,2.0,-0.206154996502698,59.90650000000001
1_11_4.0,618.0195793984764,0.2004992560525763,0.1060856714393051,522060.0,3209400.0,2.0,0.0536400902140262,57.24951162790697
1_120_0.0,9463.63052597162,0.0242018005940771,0.013573396107596,10989.0,46641000.0,4.0,,19.929158385321127
1_121_0.0,241.03213660474617,0.4254229940048094,0.1108845565002486,9000.0,1110700.0,1.0,,83.62278387096775
1_122_0.0,63.12385185895089,0.726862078480936,0.0733950365729788,12033.0,15750.0,1.0,,31.94278571428572
1_122_1.0,43.69787860055235,0.4850157612574025,0.1078238603445247,15840.0,17091.0,2.0,-0.2418463172235335,31.989
1_122_2.0,61.30904965795338,0.8977425747744352,0.1134072753145213,17181.0,41040.0,2.0,0.4127268135170327,61.2208
1_123_0.0,9390.50698702381,0.0241439337666815,0.013649340354453,10575.0,46641000.0,4.0,,20.04253290155444
1_124_0.0,399.2520190633273,0.7296980239665168,0.1010740642037914,9000.0,70506.0,1.0,,51.8612336448598
1_124_1.0,42.37337981045379,0.8922663133592471,0.1067140513210595,70515.0,73926.0,2.0,0.1739228478009938,63.87433333333333
1_124_2.0,122.84946949419292,0.6855224472215573,0.0674414392200078,74034.0,79884.0,2.0,-0.2067438661376898,63.87245714285712
1_125_0.0,559.0097229755622,0.7934043417309429,0.114853653192905,10350.0,138680.0,1.0,,77.49333108108108
1_125_1.0,411.2923046377406,0.5271329647769195,0.0631540489414026,138690.0,260410.0,2.0,-0.2662713769540235,61.377956896551744
